-150.,-2.8578889163084113e-6,-1.1299026992883196e-6
-149.99,-2.8561223902800115e-6,-1.1416579584328086e-6
-149.98,-2.854310224703195e-6,-1.1534172463880676e-6
-149.97,-2.8524523620745546e-6,-1.165180398892733e-6
-149.96,-2.850548744890682e-6,-1.1769472516854325e-6
-149.95,-2.848599315648169e-6,-1.1887176405048028e-6
-149.94,-2.8466040168436128e-6,-1.2004914010894556e-6
-149.93,-2.8445627909736027e-6,-1.2122683691780272e-6
-149.92,-2.842475580534732e-6,-1.2240483805091545e-6
-149.91,-2.8403423280235966e-6,-1.2358312708214481e-6
-149.9,-2.8381629759367865e-6,-1.247616875853545e-6
-149.89,-2.8359374667708957e-6,-1.2594050313440736e-6
-149.88,-2.833665743022516e-6,-1.2711955730316696e-6
-149.87,-2.831347747188242e-6,-1.2829883366549452e-6
-149.86,-2.828983421764666e-6,-1.2947831579525363e-6
-149.85,-2.82657270924838e-6,-1.30657987266308e-6
-149.84,-2.8241118397374947e-6,-1.3183803255376572e-6
-149.83,-2.821602894545557e-6,-1.3301831948664378e-6
-149.82,-2.8190474282228604e-6,-1.3419874440043332e-6
-149.81,-2.8164454058930752e-6,-1.353792896445044e-6
-149.8,-2.813796792679877e-6,-1.365599375682244e-6
-149.79,-2.811101553706937e-6,-1.377406705209634e-6
-149.78,-2.8083596540979264e-6,-1.3892147085209047e-6
-149.77,-2.805571058976515e-6,-1.4010232091097569e-6
-149.76,-2.80273573346638e-6,-1.412832030469864e-6
-149.75,-2.7998536426911897e-6,-1.424640996094928e-6
-149.74,-2.7969247517746162e-6,-1.4364499294786465e-6
-149.73,-2.7939490258403345e-6,-1.4482586541146962e-6
-149.72,-2.7909264300120145e-6,-1.4600669934967753e-6
-149.71,-2.787856929413329e-6,-1.4718747711185767e-6
-149.7,-2.7847404891679476e-6,-1.4836818104738003e-6
-149.69,-2.7815770743995465e-6,-1.4954879350561192e-6
-149.68,-2.7783666502317955e-6,-1.5072929683592354e-6
-149.67,-2.775109181788365e-6,-1.5190967338768467e-6
-149.66,-2.771804634192931e-6,-1.5308990551026296e-6
-149.65,-2.768452972569164e-6,-1.5426997555302838e-6
